Name,Artist(s),Album,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valance
British Bombs,Declan McKenna,British Bombs,0.0462,0.674,297715,0.865,0.0,0.381,-6.167,0.0412,131.975,0.694
A Beginner's Guide to Destroying the Moon,Foster The People,Supermodel,0.000257,0.515,279680,0.913,0.00174,0.284,-4.345,0.0524,119.989,0.266
Le Risque,King Gizzard & The Lizard Wizard,Flight b741,0.00213,0.543,214125,0.84,2.66e-05,0.119,-6.185,0.221,151.111,0.531
Witchcraft,King Gizzard & The Lizard Wizard,"PetroDragonic Apocalypse; or, Dawn of Eternal Night: An Annihilation of Planet Earth and the Beginning of Merciless Damnation",4.95e-05,0.286,303696,0.936,0.000549,0.46,-5.897,0.0393,102.225,0.723
Raw Feel,King Gizzard & The Lizard Wizard,Flight b741,0.00859,0.504,256953,0.903,0.0,0.633,-6.243,0.129,96.009,0.645
Field of Vision,King Gizzard & The Lizard Wizard,Flight b741,0.00762,0.463,215235,0.859,0.0,0.134,-5.671,0.0914,132.607,0.74
Real's Not Real,King Gizzard & The Lizard Wizard,Fishing for Fishies,0.00172,0.297,220840,0.762,0.555,0.408,-6.937,0.0428,159.685,0.592
Someday Soon,Harlem,Hippies,0.121,0.339,159773,0.919,0.0215,0.065,-4.221,0.0409,145.413,0.552
Whirring,The Joy Formidable,The Big Roar,0.000129,0.335,407160,0.968,0.288,0.341,-3.775,0.0505,145.061,0.372
Dragon,King Gizzard & The Lizard Wizard,Dragon,1.27e-05,0.515,584700,0.965,0.0617,0.23,-6.008,0.0913,145.157,0.558
Perihelion,King Gizzard & The Lizard Wizard,Infest The Rats' Nest,0.00669,0.237,191320,0.928,0.59,0.101,-5.798,0.0564,97.139,0.451
Eyes Like The Sky,King Gizzard & The Lizard Wizard,Eyes Like The Sky,0.744,0.216,197024,0.778,0.0449,0.423,-7.481,0.0813,198.625,0.423
I’m The President,KNOWER,KNOWER FOREVER,0.578,0.795,247000,0.842,0.705,0.139,-6.093,0.0438,105.627,0.965
